In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL8;SrcAddressSwitch.allInstances()->forAll(as|TrgSelectStat.allInstances()->exists(ss|TrgSIPHeaderPlace.allInstances()->one(shp|shp=ss.matchedExp and if as.field='origin' then shp.header=SIPHeader::FROM else shp.header=SIPHeader::TO endif and if (not as.otherwise.oclIsUndefined()) then TrgSelectDefault.allInstances()->one(sd|sd=ss.selectDefault) else true endif)))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.1310452418096724;0.0;0.71;0.0;0.0;-0.14029227557411272;0.0;0.0;0.0;-0.15203626135267193;-0.1;0.0;0.0;0.04732394366197183;0.0;0.5503875968992248;0.0;0.0
SubCall2Return;-0.3845466726217061;0.0;0.38;0.0;0.0;-0.42226581657675333;0.0;0.0;0.0;-0.42979565852669227;-0.5125;0.0;0.0;0.2729866835764109;0.0;0.2345679012345679;0.0;0.0
Busy2SelectCase;-0.1310452418096724;0.0;0.71;0.0;0.0;-0.14029227557411272;0.0;0.0;0.0;-0.15203626135267193;-0.1;0.0;0.0;0.04732394366197183;0.0;0.5503875968992248;0.0;0.0
SubAction2Function;-0.1310452418096724;0.0;0.71;0.0;0.0;-0.14029227557411272;0.0;0.0;0.0;-0.15203626135267193;-0.1;0.0;0.0;0.04732394366197183;0.0;0.5503875968992248;0.0;0.0
Redirect2Return;-0.3452914798206278;0.0;0.46;0.0;0.0;-0.3581395348837209;0.0;0.0;0.0;-0.36183924646120763;-0.4125;0.0;0.0;0.2008695652173913;0.0;0.2987012987012987;0.0;0.0
StringSwitch2SelectStat;-0.29577464788732394;0.0;0.54;0.0;0.0;-0.29711375212224106;0.0;0.0;0.0;-0.2976702788937936;-0.3125;0.0;0.0;0.1451077943615257;0.0;0.3698630136986301;0.0;0.0
NoAnswer2SelectCase;-0.14416475972540047;0.0;0.7;0.0;0.0;-0.15254237288135594;0.0;0.0;0.0;-0.1621424235993525;-0.1125;0.0;0.0;0.052941176470588235;0.0;0.5384615384615384;0.0;0.0
CPL2Program;-0.339737108190091;0.0;0.47;0.0;0.0;-0.3504563233376793;0.0;0.0;0.0;-0.35368499431664535;-0.4;0.0;0.0;0.1932144910868315;0.0;0.30718954248366015;0.0;0.0
Outgoing2Method;-0.11731843575418995;0.0;0.72;0.0;0.0;-0.12727272727272726;0.0;0.0;0.0;-0.1414502265767421;-0.0875;0.0;0.0;0.041666666666666664;0.0;0.5625;0.0;0.0
Proxy2Select;-0.22192866578599735;0.0;0.63;0.0;0.0;-0.22377622377622378;0.0;0.0;0.0;-0.2250175801852048;-0.2;0.0;0.0;0.09195402298850575;0.0;0.45985401459854014;0.0;0.0
